Band;f1_weighted_bombs;precision_weighted_bombs;recall_weighted_bombs;f1_weighted_mi;precision_weighted_mi;recall_weighted_mi;f1_weighted_random;precision_weighted_random;recall_weighted_random
5;0.000;0.000;0.000;0.000;0.000;0.000;0.133;0.064;0.070
10;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
15;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.012;0.070
20;0.430;0.189;0.261;0.000;0.000;0.000;0.000;0.000;0.000
25;0.001;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000
30;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
35;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
40;0.006;0.006;0.008;0.000;0.000;0.000;0.000;0.000;0.000
45;0.245;0.090;0.294;0.000;0.000;0.000;0.000;0.000;0.000
50;0.005;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000
55;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
60;0.216;0.312;0.189;0.000;0.000;0.000;0.000;0.000;0.000
65;0.002;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000
70;0.114;0.076;0.133;0.001;0.000;0.000;0.000;0.000;0.000
75;0.058;0.019;0.076;0.000;0.000;0.000;0.000;0.000;0.000
80;0.756;0.674;0.869;0.000;0.001;0.001;0.000;0.000;0.000
85;0.231;0.388;0.261;0.546;1.000;0.522;0.000;0.000;0.000
90;0.674;0.498;0.701;0.154;0.165;0.216;0.000;0.000;0.000
95;0.869;0.841;0.898;0.388;0.674;0.430;0.000;0.000;0.000
100;0.927;0.571;0.674;0.674;0.985;0.898;0.000;0.000;0.000
